rno,level,lose,point,profileIconId,summonerName,tier,win
576,460,1386,590,4832,Maolilan,GRANDMASTER,1436
577,314,1031,589,4796,m0wgli,GRANDMASTER,1049
578,299,334,589,3478,vvvvvvvvvvvvwv,GRANDMASTER,384
579,72,157,589,1099,unemployeed,GRANDMASTER,209
580,135,771,588,4550,병원친구,GRANDMASTER,844
581,356,1106,587,577,닉네임잃은몽디짱,GRANDMASTER,1134
582,118,614,586,23,cautiousmid,GRANDMASTER,711
583,233,223,585,4225,깨기싫은꿈,GRANDMASTER,258
584,99,460,584,3378,거거가리아,GRANDMASTER,505
585,89,248,584,4707,Passive,GRANDMASTER,359
586,268,1562,582,3159,zzbb,GRANDMASTER,1582
587,439,800,580,4833,하한결,GRANDMASTER,820
588,159,832,579,3686,HLEBaut,GRANDMASTER,872
589,122,510,578,4853,당신이나잘하세요,GRANDMASTER,577
590,168,1085,577,4655,buhaowan,GRANDMASTER,1109
591,131,422,577,4576,maerd1,GRANDMASTER,464
592,571,1151,576,682,애디는못말려,GRANDMASTER,1177
593,207,749,576,4570,HUYATVWooJu,GRANDMASTER,795
594,121,585,576,4379,hangxiao,GRANDMASTER,649
595,183,200,576,3,은가뉴,GRANDMASTER,240
596,183,253,575,6,SsKxKzkzzbb,GRANDMASTER,287
597,422,899,573,4779,432423423412312,GRANDMASTER,933
598,70,238,572,4763,FAScarlet,GRANDMASTER,330
599,221,1126,571,22,SeIma,GRANDMASTER,1164
600,372,580,570,4533,52791553,GRANDMASTER,604
601,243,534,568,4782,준탱이528,GRANDMASTER,555
602,136,394,568,3380,언니우기,GRANDMASTER,462
603,73,278,568,4793,XiaoYueJiOVO,GRANDMASTER,368
604,62,187,566,4641,황포강을뛰다,GRANDMASTER,287
605,155,97,566,7,특수교육전공,GRANDMASTER,181
606,170,612,565,7,persistently,GRANDMASTER,669
607,387,881,563,4783,huntiand1,GRANDMASTER,922
608,98,308,563,1666,adwlad,GRANDMASTER,374
609,173,235,563,4645,Kanavi,GRANDMASTER,261
610,163,329,561,4402,그러건아말건아,GRANDMASTER,373
611,134,674,560,7,백훈,GRANDMASTER,779
612,120,641,560,4832,qwqqwqwqwqw,GRANDMASTER,689
613,126,444,560,13,갱붕이,GRANDMASTER,501
614,272,128,560,4635,주말엔쿠키와산책,GRANDMASTER,172
615,349,1410,559,4787,리그오브래전드ll,GRANDMASTER,1440
616,267,421,559,4762,쌍수도,GRANDMASTER,475
617,63,168,559,1161,Xiasumao,GRANDMASTER,242
618,109,561,558,7,YOLIWW,GRANDMASTER,652
619,168,182,558,4363,압도적인,GRANDMASTER,192
