rno,level,lose,name,point,profileIconId,tier,win,summonerName
373,53,97,NULL,762,23,GRANDMASTER,191,fenggeer
374,184,468,NULL,761,3839,GRANDMASTER,541,hewon
375,127,326,NULL,760,4631,GRANDMASTER,372,Riverzz
376,324,610,NULL,758,3588,GRANDMASTER,668,떡잎부터알아봄
377,287,1210,NULL,754,4794,GRANDMASTER,1240,szygszn
378,624,1026,NULL,754,10,GRANDMASTER,1070,DRX홍창현
379,74,186,NULL,754,3550,GRANDMASTER,290,불면증환자임
380,147,849,NULL,744,16,GRANDMASTER,906,네버rland
381,505,1280,NULL,743,7,GRANDMASTER,1282,Seizetheday11
382,340,977,NULL,742,4763,GRANDMASTER,1004,91off
383,208,799,NULL,742,4540,GRANDMASTER,836,BrushEye
384,198,342,NULL,742,4660,GRANDMASTER,396,리하우
385,454,927,NULL,741,4833,GRANDMASTER,979,98Haru
386,359,851,NULL,741,4817,GRANDMASTER,850,김랑준
387,253,347,NULL,741,1154,GRANDMASTER,371,5Kid
388,102,73,NULL,740,4200,GRANDMASTER,119,FAArcher
389,100,498,NULL,739,4418,GRANDMASTER,539,299살까지살게여
390,80,268,NULL,738,4655,GRANDMASTER,396,chinatalonno1
391,308,582,NULL,737,4832,GRANDMASTER,633,DWGSojuMaker
392,94,419,NULL,737,4832,GRANDMASTER,490,zzzzzzzzz2
393,234,199,NULL,737,1,GRANDMASTER,253,nmnmnmmmnmmnnmnm
394,612,816,NULL,736,4834,GRANDMASTER,840,Jymssaja
395,220,1167,NULL,732,7,GRANDMASTER,1221,d0myself
396,771,1907,NULL,731,4379,GRANDMASTER,1959,HUYATVBurning
397,292,305,NULL,730,4759,GRANDMASTER,350,FAP0P
398,176,896,NULL,729,502,GRANDMASTER,967,GenGPeyz
399,259,1049,NULL,728,4490,GRANDMASTER,1087,tttttttEEn
400,348,863,NULL,728,4655,GRANDMASTER,912,VictoriaIsland
401,220,589,NULL,728,1626,GRANDMASTER,658,둠심
402,132,157,NULL,728,4568,GRANDMASTER,198,오리지널찰떡쿠키
403,567,1386,NULL,726,7,GRANDMASTER,1490,happygame
404,195,523,NULL,724,4834,GRANDMASTER,555,Dynsylvie
